"Name","N_items","N_pages"
"COLECCIÓN",337,6
"NOVEDADES",186,4
"Outlet",345,6
"Vestidos",71,2
"Faldas",17,1
"Pantalones",31,1
"Jeans",3,1
"Chaquetas y Rebecas",15,1
"Camisetas y Camisas",45,1
"Jerseis",10,1
"¡Top Ventas!",11,1
"Básicos",78,2
"Colección",98,2
"Novedades",57,1
"Outlet",36,1
"Botas y Botines",19,1
"Deportivos",61,2
"Sandalias Tacón",14,1
"Sandalias Planas",22,1
"Zapatos con Tacón",1,1
"Zapatos Planos",4,1
"Complementos",165,3
"Novedades",66,2
"Colección",145,3
"Complementos Outlet",15,1
"Bolsos",54,1
"Calcetines",22,1
"Cinturones",27,1
"Carteras y Monederos",3,1
"Collares",6,1
"Pendientes",39,1
"Sombreros",7,1
"Bufandas",3,1
"¡Mímate!",3,1
"Gel",1,1
"Hidratante",1,1
"Pack Valentina Beauty",1,1
"Papelería",18,1
"Ofertas Express",33,1
"Faldas",31,1
"Vestidos",82,2
"Chaquetas",35,1
"Camisas y Camisetas",1,1
"Pantalones",45,1
"Botas y Botines",1,1
"Deportivos",2,1
"Sandalias Planas",22,1
"Sandalias Tacón",2,1
